"Year","Election Date","Election Type","Votes Cast","Party","Number of Candidates","Seats Won",
"2022","June 02, 2022","General Election","25137","Independent","39","1",
"2022","June 02, 2022","General Election","1919905","Progressive Conservative Party of Ontario","124","83",
"2022","June 02, 2022","General Election","280006","Green Party of Ontario","124","1",
"2022","June 02, 2022","General Election","1116383","New Democratic Party of Ontario","124","31",
"2022","June 02, 2022","General Election","1124065","Ontario Liberal Party","121","8",
"2022","June 02, 2022","General Election","2103","Freedom Party of Ontario","11","0",
"2022","June 02, 2022","General Election","2100","Communist Party of Canada (Ontario)","12","0",
"2022","June 02, 2022","General Election","414","Ontario Provincial Confederation of Regions Party","3","0",
"2022","June 02, 2022","General Election","5242","Ontario Libertarian Party","16","0",
"2022","June 02, 2022","General Election","290","Party for People with Special Needs","2","0",
"2022","June 02, 2022","General Election","195","No Affiliation","1","0",
"2022","June 02, 2022","General Election","409","The People's Political Party","3","0",
"2022","June 02, 2022","General Election","283","Northern Ontario Party","2","0",
"2022","June 02, 2022","General Election","568","Canadians' Choice Party","2","0",
"2022","June 02, 2022","General Election","1618","Ontario Moderate Party","17","0",
"2022","June 02, 2022","General Election","6202","None of the Above Direct Democracy Party","28","0",
"2022","June 02, 2022","General Election","340","Stop the New Sex-Ed Agenda","3","0",
"2022","June 02, 2022","General Election","108","Ontario Alliance","2","0",
"2022","June 02, 2022","General Election","1651","Consensus Ontario","11","0",
"2022","June 02, 2022","General Election","83618","Ontario Party","105","0",
"2022","June 02, 2022","General Election","127462","New Blue Party of Ontario","123","0",
"2022","June 02, 2022","General Election","367","People's Progressive Common Front of Ontario","3","0",
"2022","June 02, 2022","General Election","182","Freedom of Choice, Peace & Justice Party","2","0",
"2022","June 02, 2022","General Election","182","Electoral Reform Party","2","0",
"2022","June 02, 2022","General Election","2638","Populist Party Ontario","13","0",
"2022","June 02, 2022","General Election","295","Ontario Centrist Party","2","0",
"2022","June 02, 2022","General Election","196","Public Benefit Party of Ontario","2","0",
